5.7372 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
5.9785 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E322E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32130>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025D59E49A00>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 300.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9786 	EXP 	window1: backgroundImage = ''
5.9786 	EXP 	window1: backgroundFit = 'none'
5.9789 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
5.9790 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
5.9816 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
5.9825 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
6.0352 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
6.0354 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
6.0362 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
6.0370 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000025D59E32460>
6.0523 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.0523 	EXP 	window1: recordFrameIntervals = False
6.2369 	EXP 	window1: recordFrameIntervals = True
6.4223 	EXP 	Screen (0) actual frame rate measured at 59.94Hz
6.4224 	EXP 	window1: recordFrameIntervals = False
6.4225 	EXP 	window1: mouseVisible = True
6.4383 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
10.0676 	INFO 	keyboard.Keyboard is using iohub backend.
10.0676 	INFO 	keyboard.Keyboard is using iohub backend.
10.0677 	EXP 	LabReport1: status = STARTED
10.0680 	EXP 	window1: mouseVisible = True
