3.9390 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
4.1214 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC8523A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC8521F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000255FC867AC0>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 300.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1215 	EXP 	window1: backgroundImage = ''
4.1215 	EXP 	window1: backgroundFit = 'none'
4.1218 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1220 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1250 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1256 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1621 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1622 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1628 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1632 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000255FC852520>
4.1720 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1720 	EXP 	window1: recordFrameIntervals = False
4.3382 	EXP 	window1: recordFrameIntervals = True
4.7075 	EXP 	Screen (0) actual frame rate measured at 60.20Hz
4.7075 	EXP 	window1: recordFrameIntervals = False
4.7076 	EXP 	window1: mouseVisible = True
4.7224 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
7.0267 	INFO 	keyboard.Keyboard is using iohub backend.
7.0268 	INFO 	keyboard.Keyboard is using iohub backend.
7.0268 	EXP 	sdt: status = STARTED
