thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.027723000006517395,0.04616900000110036,7.008912200006307,,,,,,,,,,,,,,AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
0,0,0,[-0.13625],[-0.155],[1],[0],[0],[1.8036132999986876],['target'],0,0,0,0,7.055032200005371,,,,,10,7.039528400004201,7.055032200005371,7.055032200005371,0.03920230000221636,8.843574500002433,[-0.13625],[-0.155],[1],[0],[0],[1.8036132999986876],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
1,0,1,[0.32375],[0.15],[1],[0],[0],[2.4362870000040857],['target'],1,0,1,0,8.874702400004026,,,,,5,8.855592899999465,8.874702400004026,8.874702400004026,0.011820599997008685,11.29224080000131,[0.32375],[0.15],[1],[0],[0],[2.4362870000040857],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
2,0,2,[-0.47625],[-0.08375],[1],[0],[0],[3.805686199993943],['target'],2,0,2,0,11.331314700000803,,,,,10,11.317945200004033,11.331314700000803,11.331314700000803,0.02553539999644272,15.124005900004704,[-0.47625],[-0.08375],[1],[0],[0],[3.805686199993943],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
3,0,3,[-0.0325],[0.30125],[1],[0],[0],[2.5215978999985964],[None],3,0,3,0,15.16405730000406,,,,,10,15.150732300004165,15.16405730000406,15.16405730000406,0.02651530000002822,17.67265110000153,[-0.0325],[0.30125],[1],[0],[0],[2.5215978999985964],[None],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
4,0,4,[0.22625],[0.2725],[1],[0],[0],[2.824240900001314],['target'],4,0,4,0,17.709765500003414,,,,,10,17.69681230000424,17.709765500003414,17.709765500003414,0.023976399999810383,20.521477500005858,[0.22625],[0.2725],[1],[0],[0],[2.824240900001314],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
5,0,5,[-0.47875],[-0.41],[1],[0],[0],[2.6579217000034987],['target'],5,0,5,0,20.55759200000466,,,,,10,20.545385299999907,20.55759200000466,20.55759200000466,0.023733499998343177,23.203770899999654,[-0.47875],[-0.41],[1],[0],[0],[2.6579217000034987],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
6,0,6,[-0.08625],[0.06],[1],[0],[0],[1.591962099999364],['target'],6,0,6,0,23.241478000003553,,,,,10,23.227680100004363,23.241478000003553,23.241478000003553,0.023741200006043073,24.820002100001147,[-0.08625],[0.06],[1],[0],[0],[1.591962099999364],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
7,0,7,[-0.3],[0.445],[1],[0],[0],[1.7176899000041885],['target'],7,0,7,0,24.850351100001717,,,,,5,24.834226800005126,24.850351100001717,24.850351100001717,0.014075599996431265,26.55227520000335,[-0.3],[0.445],[1],[0],[0],[1.7176899000041885],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
8,0,8,[0.21875],[-0.2725],[1],[0],[0],[1.6189770999990287],['target'],8,0,8,0,26.583393700006127,,,,,5,26.568477700006042,26.583393700006127,26.583393700006127,0.016029999998863786,28.187903600002755,[0.21875],[-0.2725],[1],[0],[0],[1.6189770999990287],['target'],AN,2024-10-10_18h54.05.602,visualsearchtask,2024.2.1,60.39110487405529,2024-10-10 18h54.30.270239 +0530,
