pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7390044999774545,None,0,0,0,0,,,,,0.024219400016590953,,0.012395399971865118,0.024219400016590953,1.0081604999722913,1.0081604999722913,1.0081604999722913,1.0081604999722913,1.0242154999868944,2.0077267000451684,2.0077267000451684,2.760668499977328,x,1,0.7390044999774545,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
150,v,1,1,0,v,1,0.4137097999919206,None,0,1,1,1,,,,,2.7730190000729635,,2.760918500018306,2.7730190000729635,3.773736200062558,3.773736200062558,3.773736200062558,3.773736200062558,3.773736200062558,4.772796800010838,4.772796800010838,5.189763400005177,v,1,0.4137097999919206,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
50,c,2,2,0,c,1,0.2688827000092715,None,0,2,2,2,,,,,5.206266700057313,,5.190045600058511,5.206266700057313,6.205548400059342,6.205548400059342,6.205548400059342,6.205548400059342,6.205548400059342,7.205546700046398,7.205546700046398,7.489277900080197,c,1,0.2688827000092715,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
-150,z,3,3,0,z,1,0.4216188999125734,None,0,3,3,3,,,,,7.505691000027582,,7.489577800035477,7.505691000027582,8.48781640001107,8.48781640001107,8.48781640001107,8.48781640001107,8.52113410003949,9.504127399995923,9.504127399995923,9.938134900061414,z,1,0.4216188999125734,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
-50,x,4,0,1,x,1,0.6985088000074029,None,1,0,4,0,,,,,9.953958600061014,,9.93838790000882,9.953958600061014,10.953399099991657,10.953399099991657,10.953399099991657,10.953399099991657,10.953399099991657,11.953236500034109,11.953236500034109,12.653644300065935,x,1,0.6985088000074029,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
150,v,5,1,1,v,1,0.3291418000590056,None,1,1,5,1,,,,,12.669730099965818,,12.653924799989909,12.669730099965818,13.668888500076719,13.668888500076719,13.668888500076719,13.668888500076719,13.668888500076719,14.668573100003414,14.668573100003414,15.002722600009292,v,1,0.3291418000590056,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
50,c,6,2,1,c,1,0.4338759999955073,None,1,2,6,2,,,,,15.018477600067854,,15.002994499984197,15.018477600067854,16.017995200003497,16.017995200003497,16.017995200003497,16.017995200003497,16.017995200003497,17.017924400046468,17.017924400046468,17.468555000028573,c,1,0.4338759999955073,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
-150,z,7,3,1,z,1,0.20992749999277294,None,1,3,7,3,,,,,17.484091100050136,,17.468833400052972,17.484091100050136,18.484074100037105,18.484074100037105,18.484074100037105,18.484074100037105,18.484074100037105,19.482914700056426,19.482914700056426,19.700624900055118,z,1,0.20992749999277294,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
-50,x,8,0,2,x,1,0.20572460000403225,None,2,0,8,0,,,,,19.716351700015366,,19.700868700048886,19.716351700015366,20.715978599968366,20.715978599968366,20.715978599968366,20.715978599968366,20.715978599968366,21.715433800010942,21.715433800010942,21.93287570006214,x,1,0.20572460000403225,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
150,v,9,1,2,v,1,0.17656369996257126,None,2,1,9,1,,,,,21.94870239996817,,21.933118600049056,21.94870239996817,22.931628399994224,22.931628399994224,22.931628399994224,22.931628399994224,22.94842300005257,23.948181600077078,23.948181600077078,24.13202540006023,v,1,0.17656369996257126,None,,,,,458621,001,2024-10-17_19h19.47.043,sequencelearning,2024.2.1,59.98307275970216,2024-10-17 19h19.50.013424 +0530,
