test_word,Reference,old_new,textbox.text,,,
c_s_,Case,old,case,,,
_oo_,Book,old,book,,,
K_y_,Keys,old,keys,,,
l_pt_p,Laptop,old,laptop,,,
P_li_e,Police,old,police,,,
p_nc_l,Pencil,new,pencil,,,
c_m_ra,Camera,new,camera,,,
_ha_t,Chart,old,shant,,Prop hit from study list,0.533333333
bo_t_e,Bottle,new,bottle,,Prop hit from nonprimed words,1
_ou_se,mouse,old,mousse,,,
t_a_l_,Table,new,table,,Priming Score,-0.466666667
_a_bl_,Marble,old,cabler,,,
v_s_,Vase,new,vase,,,
_ho_e,Phone,old,shone,,,
T_hi_t,Tshirt,old,tshirt,,,
_o_rd,Board,old,coord,,,
P_str_,Pastry,old,,,,
_ru_s_,Cruise,old,cruise,,,
c_s_io_,Cushion,old,cushion,,,
P_st_r,Poster,old,pastor,,,
