test_word,Reference,old_new,textbox.text,,,,,
P_li_e,Police,old,Police,,,,,
_ru_s_,Cruise,old,Cruise,,,,,
K_y_,Keys,old,Keys,,,,,
_o_rd,Board,old,Hoard,,,,,
_a_bl_,Marble,old,Table,,,,,
_ha_t,Chart,old,Chant,,Prop hit from study list,0.666666667,,0.666666667
c_s_,Case,old,case,,Prop hit from nonprimed words,0.8,,
t_a_l_,Table,new,tri,,,,,
P_st_r,Poster,old,Pastor,,Priming Score,-0.133333333,,
v_s_,Vase,new,Vase,,,,,
bo_t_e,Bottle,new,bottle,,,,,
c_m_ra,Camera,new,camera,,,,,
p_nc_l,Pencil,new,pencil,,,,,
_oo_,Book,old,tool,,,,,
P_str_,Pastry,old,pastry,,,,,
c_s_io_,Cushion,old,cushion,,,,,
T_hi_t,Tshirt,old,tshirt,,,,,
l_pt_p,Laptop,old,laptop,,,,,
_ou_se,mouse,old,mouse,,,,,
_ho_e,Phone,old,choke,,,,,
