delay,freq,condition,thisN,thisRepN,textbox.text,,,
0.1,1000,exp,0,0,200,,Mean of exp trials,298.6868687
0.4,1000,exp,2,0,700,,Mean of unexp trials,332.9292929
0.7,1000,exp,3,0,800,,Difference in interval Estimates,34.24242424
0.4,1000,exp,4,0,550,,,
0.1,1000,exp,5,0,120,,,
0.4,1000,exp,7,0,200,,,
0.1,1000,exp,8,0,100,,,
0.7,1000,exp,9,0,850,,,
0.7,1000,exp,10,0,850,,,
0.1,1000,exp,14,1,220,,,
0.7,1000,exp,15,1,450,,,
0.4,1000,exp,16,1,560,,,
0.1,1000,exp,17,1,100,,,
0.4,1000,exp,18,1,230,,,
0.7,1000,exp,20,1,800,,,
0.1,1000,exp,21,1,100,,,
0.7,1000,exp,22,1,450,,,
0.4,1000,exp,23,1,500,,,
0.4,1000,exp,25,2,770,,,
0.7,1000,exp,27,2,550,,,
0.4,1000,exp,28,2,450,,,
0.1,1000,exp,29,2,100,,,
0.7,1000,exp,30,2,450,,,
0.4,1000,exp,31,2,560,,,
0.7,1000,exp,32,2,750,,,
0.1,1000,exp,33,2,220,,,
0.1,1000,exp,34,2,100,,,
0.4,1000,exp,36,3,450,,,
0.4,1000,exp,37,3,100,,,
0.4,1000,exp,38,3,100,,,
0.7,1000,exp,39,3,250,,,
0.7,1000,exp,40,3,470,,,
0.1,1000,exp,42,3,100,,,
0.7,1000,exp,44,3,250,,,
0.1,1000,exp,45,3,100,,,
0.1,1000,exp,47,3,100,,,
0.1,1000,exp,48,4,100,,,
0.1,1000,exp,52,4,120,,,
0.7,1000,exp,53,4,650,,,
0.7,1000,exp,54,4,700,,,
0.4,1000,exp,55,4,450,,,
0.7,1000,exp,56,4,750,,,
0.1,1000,exp,57,4,100,,,
0.4,1000,exp,58,4,350,,,
0.4,1000,exp,59,4,400,,,
0.4,1000,exp,60,5,400,,,
0.1,1000,exp,61,5,100,,,
0.1,1000,exp,62,5,100,,,
0.7,1000,exp,63,5,580,,,
0.7,1000,exp,64,5,650,,,
0.1,1000,exp,65,5,100,,,
0.7,1000,exp,67,5,500,,,
0.4,1000,exp,70,5,200,,,
0.4,1000,exp,71,5,250,,,
0.1,1000,exp,72,6,100,,,
0.7,1000,exp,73,6,550,,,
0.1,1000,exp,74,6,180,,,
0.7,1000,exp,75,6,600,,,
0.4,1000,exp,76,6,150,,,
0.7,1000,exp,78,6,350,,,
0.1,1000,exp,80,6,100,,,
0.4,1000,exp,82,6,100,,,
0.4,1000,exp,83,6,100,,,
0.1,1000,exp,84,7,100,,,
0.1,1000,exp,86,7,100,,,
0.7,1000,exp,87,7,450,,,
0.7,1000,exp,88,7,450,,,
0.4,1000,exp,90,7,250,,,
0.7,1000,exp,91,7,250,,,
0.4,1000,exp,92,7,150,,,
0.4,1000,exp,93,7,100,,,
0.1,1000,exp,94,7,100,,,
0.4,1000,exp,98,8,120,,,
0.7,1000,exp,99,8,250,,,
0.4,1000,exp,100,8,250,,,
0.1,1000,exp,101,8,180,,,
0.7,1000,exp,102,8,200,,,
0.7,1000,exp,103,8,470,,,
0.4,1000,exp,104,8,210,,,
0.1,1000,exp,106,8,100,,,
0.1,1000,exp,107,8,100,,,
0.7,1000,exp,108,9,350,,,
0.7,1000,exp,109,9,670,,,
0.7,1000,exp,110,9,500,,,
0.1,1000,exp,111,9,480,,,
0.1,1000,exp,112,9,100,,,
0.4,1000,exp,113,9,200,,,
0.1,1000,exp,114,9,100,,,
0.4,1000,exp,116,9,280,,,
0.4,1000,exp,117,9,150,,,
0.4,1000,exp,120,10,100,,,
0.7,1000,exp,121,10,450,,,
0.1,1000,exp,122,10,100,,,
0.4,1000,exp,124,10,180,,,
0.7,1000,exp,125,10,400,,,
0.4,1000,exp,127,10,110,,,
0.1,1000,exp,128,10,100,,,
0.1,1000,exp,129,10,100,,,
0.7,1000,exp,131,10,400,,,
0.1,1000,exp,132,11,100,,,
0.7,1000,exp,134,11,120,,,
0.4,1000,exp,135,11,200,,,
0.7,1000,exp,136,11,300,,,
0.4,1000,exp,139,11,120,,,
0.1,1000,exp,140,11,100,,,
0.7,1000,exp,141,11,300,,,
0.4,1000,exp,142,11,200,,,
0.1,1000,exp,143,11,120,,,
0.7,1000,exp,144,12,500,,,
0.1,1000,exp,145,12,100,,,
0.4,1000,exp,147,12,250,,,
0.7,1000,exp,148,12,450,,,
0.1,1000,exp,149,12,100,,,
0.7,1000,exp,150,12,450,,,
0.1,1000,exp,152,12,100,,,
0.4,1000,exp,154,12,120,,,
0.4,1000,exp,155,12,180,,,
