6.1606 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
6.3464 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411925B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023941192550>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411923A0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023941270AC0>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([1280,  800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3464 	EXP 	window1: backgroundImage = ''
6.3465 	EXP 	window1: backgroundFit = 'none'
6.3467 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3468 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3494 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3499 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3932 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3932 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3937 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.3942 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000239411926D0>
6.4047 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.4047 	EXP 	window1: recordFrameIntervals = False
6.5833 	EXP 	window1: recordFrameIntervals = True
6.7659 	EXP 	Screen (0) actual frame rate measured at 60.10Hz
6.7660 	EXP 	window1: recordFrameIntervals = False
6.7660 	EXP 	window1: mouseVisible = True
6.7814 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
8.9818 	INFO 	keyboard.Keyboard is using iohub backend.
8.9819 	INFO 	keyboard.Keyboard is using iohub backend.
9.2450 	EXP 	intentionalbinding: status = STARTED
9.2453 	EXP 	window1: mouseVisible = True
9.2505 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.2506 	EXP 	window1: mouseVisible = True
9.2529 	EXP 	Created polygon_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1.    ,  0.0039, -1.    ]), fillColorSpace='rgb', fillRGB=array([-1.    ,  0.0039, -1.    ]), interpolate=True, lineColor=array([-1.    ,  0.0039, -1.    ]), lineColorSpace='rgb', lineRGB=array([-1.    ,  0.0039, -1.    ]), lineWidth=1.0, name='polygon_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.4026 	EXP 	Sound sound_1 set volume 1.000
9.4029 	EXP 	window1: mouseVisible = True
9.4683 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.4685 	EXP 	window1: mouseVisible = True
9.4686 	EXP 	window1: mouseVisible = True
9.4691 	EXP 	window1: mouseVisible = True
9.4695 	EXP 	window1: mouseVisible = True
9.4727 	EXP 	window1: mouseVisible = True
9.4728 	EXP 	window1: mouseVisible = True
9.4732 	EXP 	window1: mouseVisible = True
9.4736 	EXP 	window1: mouseVisible = True
9.4902 	EXP 	window1: mouseVisible = True
9.4903 	EXP 	window1: mouseVisible = True
9.4907 	EXP 	window1: mouseVisible = True
9.4911 	EXP 	window1: mouseVisible = True
9.5071 	EXP 	window1: mouseVisible = True
9.5072 	EXP 	window1: mouseVisible = True
9.5076 	EXP 	window1: mouseVisible = True
9.5080 	EXP 	window1: mouseVisible = True
0.0058 	EXP 	textbox: autoLog = True
0.0111 	EXP 	Imported C:/Users/User/Desktop/AU/SEM5/PSY310/Experiments/ib_conds.xlsx as conditions, 12 conditions, 3 params
0.0142 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0240 	EXP 	polygon: autoDraw = True
1.0062 	INFO 	Keyboard events cleared
1.0060 	EXP 	polygon_2: autoDraw = True
1.0393 	EXP 	polygon: autoDraw = False
1.7477 	DATA 	Keypress: space
1.7561 	EXP 	polygon: autoDraw = False
1.7561 	EXP 	polygon_2: autoDraw = False
1.8397 	EXP 	Sound sound_1 reached end of file
1.8562 	EXP 	Sound sound_1 started
2.1579 	EXP 	Sound sound_1 stopped
2.1751 	EXP 	text: autoDraw = True
2.1751 	EXP 	textbox: autoDraw = True
5.2386 	DATA 	Keypress: 2
5.5212 	DATA 	Keypress: 0
5.6753 	DATA 	Keypress: 0
6.2544 	DATA 	Keypress: return
6.8583 	DATA 	Keypress: backspace
7.9039 	DATA 	Mouse: Left button down, pos=(655,151)
8.1375 	DATA 	Mouse:  Left button up, pos=(655,151)
9.8196 	DATA 	Mouse: Left button down, pos=(629,175)
9.8206 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'delay': 0.1, 'freq': 400, 'condition': 'unexp', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
9.8361 	EXP 	text: autoDraw = False
9.8361 	EXP 	textbox: autoDraw = False
9.8361 	EXP 	polygon: autoDraw = True
10.0365 	DATA 	Mouse:  Left button up, pos=(629,175)
10.8352 	INFO 	Keyboard events cleared
10.8349 	EXP 	polygon: autoDraw = False
10.8349 	EXP 	polygon_2: autoDraw = True
11.1368 	DATA 	Keypress: space
11.1517 	EXP 	polygon: autoDraw = False
11.1517 	EXP 	polygon_2: autoDraw = False
11.2359 	EXP 	Sound sound_1 reached end of file
11.2523 	EXP 	Sound sound_1 started
11.5552 	EXP 	Sound sound_1 stopped
11.5677 	EXP 	text: autoDraw = True
11.5677 	EXP 	textbox: autoDraw = True
12.7234 	DATA 	Keypress: 1
12.8850 	DATA 	Keypress: 0
13.0014 	DATA 	Keypress: 0
15.1341 	DATA 	Mouse: Left button down, pos=(599,148)
15.1349 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
15.1499 	EXP 	text: autoDraw = False
15.1499 	EXP 	textbox: autoDraw = False
15.1499 	EXP 	polygon: autoDraw = True
15.3507 	DATA 	Mouse:  Left button up, pos=(599,148)
16.1501 	INFO 	Keyboard events cleared
16.1499 	EXP 	polygon: autoDraw = False
16.1499 	EXP 	polygon_2: autoDraw = True
16.4180 	DATA 	Keypress: space
16.4328 	EXP 	polygon: autoDraw = False
16.4328 	EXP 	polygon_2: autoDraw = False
16.8161 	EXP 	Sound sound_1 reached end of file
16.8326 	EXP 	Sound sound_1 started
17.1338 	EXP 	Sound sound_1 stopped
17.1483 	EXP 	text: autoDraw = True
17.1483 	EXP 	textbox: autoDraw = True
18.1325 	DATA 	Keypress: 7
18.4165 	DATA 	Keypress: 0
18.5196 	DATA 	Keypress: 0
20.2151 	DATA 	Mouse: Left button down, pos=(652,162)
20.2161 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'delay': 0.7, 'freq': 1000, 'condition': 'exp', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
20.2316 	EXP 	text: autoDraw = False
20.2316 	EXP 	textbox: autoDraw = False
20.2316 	EXP 	polygon: autoDraw = True
20.4323 	DATA 	Mouse:  Left button up, pos=(652,162)
21.2311 	INFO 	Keyboard events cleared
21.2309 	EXP 	polygon_2: autoDraw = True
21.2468 	EXP 	polygon: autoDraw = False
21.8487 	DATA 	Keypress: space
21.8637 	EXP 	polygon: autoDraw = False
21.8637 	EXP 	polygon_2: autoDraw = False
22.5302 	EXP 	Sound sound_1 reached end of file
22.5467 	EXP 	Sound sound_1 started
22.8467 	EXP 	Sound sound_1 stopped
22.8633 	EXP 	text: autoDraw = True
22.8633 	EXP 	textbox: autoDraw = True
23.7800 	DATA 	Keypress: 8
23.9802 	DATA 	Keypress: 0
24.1134 	DATA 	Keypress: 0
27.0315 	DATA 	Mouse: Left button down, pos=(652,162)
27.0459 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
27.0612 	EXP 	text: autoDraw = False
27.0612 	EXP 	textbox: autoDraw = False
27.0612 	EXP 	polygon: autoDraw = True
27.2616 	DATA 	Mouse:  Left button up, pos=(652,162)
28.0612 	INFO 	Keyboard events cleared
28.0609 	EXP 	polygon: autoDraw = False
28.0609 	EXP 	polygon_2: autoDraw = True
28.4788 	DATA 	Keypress: space
28.4937 	EXP 	polygon: autoDraw = False
28.4937 	EXP 	polygon_2: autoDraw = False
28.8613 	EXP 	Sound sound_1 reached end of file
28.8779 	EXP 	Sound sound_1 started
29.1778 	EXP 	Sound sound_1 stopped
29.1933 	EXP 	text: autoDraw = True
29.1933 	EXP 	textbox: autoDraw = True
30.7432 	DATA 	Keypress: 5
30.9096 	DATA 	Keypress: 5
31.2592 	DATA 	Keypress: 0
32.4258 	DATA 	Mouse: Left button down, pos=(662,172)
32.4267 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
32.4424 	EXP 	text: autoDraw = False
32.4424 	EXP 	textbox: autoDraw = False
32.4424 	EXP 	polygon: autoDraw = True
32.6426 	DATA 	Mouse:  Left button up, pos=(662,172)
33.4415 	INFO 	Keyboard events cleared
33.4413 	EXP 	polygon: autoDraw = False
33.4413 	EXP 	polygon_2: autoDraw = True
33.7429 	DATA 	Keypress: space
33.7580 	EXP 	polygon: autoDraw = False
33.7580 	EXP 	polygon_2: autoDraw = False
33.8248 	EXP 	Sound sound_1 reached end of file
33.8413 	EXP 	Sound sound_1 started
34.1365 	EXP 	Sound sound_1 stopped
34.1573 	EXP 	text: autoDraw = True
34.1573 	EXP 	textbox: autoDraw = True
35.5574 	DATA 	Keypress: 1
35.9906 	DATA 	Keypress: 2
36.1073 	DATA 	Keypress: 0
37.0404 	DATA 	Mouse: Left button down, pos=(620,163)
37.0415 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'delay': 0.4, 'freq': 400, 'condition': 'unexp', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
37.0570 	EXP 	text: autoDraw = False
37.0570 	EXP 	textbox: autoDraw = False
37.0570 	EXP 	polygon: autoDraw = True
37.2736 	DATA 	Mouse:  Left button up, pos=(620,163)
38.0563 	INFO 	Keyboard events cleared
38.0560 	EXP 	polygon_2: autoDraw = True
38.0733 	EXP 	polygon: autoDraw = False
38.3076 	DATA 	Keypress: space
38.3227 	EXP 	polygon: autoDraw = False
38.3227 	EXP 	polygon_2: autoDraw = False
38.6893 	EXP 	Sound sound_1 reached end of file
38.7058 	EXP 	Sound sound_1 started
39.0006 	EXP 	Sound sound_1 stopped
39.0220 	EXP 	text: autoDraw = True
39.0220 	EXP 	textbox: autoDraw = True
40.2779 	DATA 	Keypress: 4
40.4111 	DATA 	Keypress: 5
40.7730 	DATA 	Keypress: 0
41.8550 	DATA 	Mouse: Left button down, pos=(675,176)
41.8559 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'delay': 0.4, 'freq': 1000, 'condition': 'exp', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
41.8717 	EXP 	text: autoDraw = False
41.8717 	EXP 	textbox: autoDraw = False
41.8717 	EXP 	polygon: autoDraw = True
42.0715 	DATA 	Mouse:  Left button up, pos=(675,176)
42.8707 	INFO 	Keyboard events cleared
42.8705 	EXP 	polygon: autoDraw = False
42.8705 	EXP 	polygon_2: autoDraw = True
43.0725 	DATA 	Keypress: space
43.0872 	EXP 	polygon: autoDraw = False
43.0872 	EXP 	polygon_2: autoDraw = False
43.4703 	EXP 	Sound sound_1 reached end of file
43.4868 	EXP 	Sound sound_1 started
43.7898 	EXP 	Sound sound_1 stopped
43.8030 	EXP 	text: autoDraw = True
43.8030 	EXP 	textbox: autoDraw = True
45.0418 	DATA 	Keypress: 2
45.2032 	DATA 	Keypress: 0
45.3235 	DATA 	Keypress: 0
