reward_today,future_reward,delay,key_resp.keys,k,geomean of reversals,,
67,75,119,t,0.001003386,0.006379792,,
27,50,21,l,0.040564374,,,
15,35,13,l,0.102564103,,,
40,55,62,t,0.006048387,0.003905918,,
49,60,89,l,0.002522357,,,
78,80,162,t,0.000158278,0.006249448,,
11,30,7,l,0.246753247,,,
49,60,89,t,0.002522357,,,
67,75,119,t,0.001003386,0.010144527,,
15,35,13,l,0.102564103,,,k value
78,80,162,t,0.000158278,,,0.013866855
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
11,30,7,l,0.246753247,,,
15,35,13,l,0.102564103,,,
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
67,75,119,t,0.001003386,,,
78,80,162,t,0.000158278,,,
49,60,89,t,0.002522357,0.024947943,,
11,30,7,l,0.246753247,,,
11,30,7,l,0.246753247,,,
27,50,21,l,0.040564374,,,
78,80,162,t,0.000158278,0.004029098,,
15,35,13,l,0.102564103,,,
67,75,119,t,0.001003386,,,
40,55,62,t,0.006048387,,,
49,60,89,t,0.002522357,0.024947943,,
11,30,7,l,0.246753247,,,
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
67,75,119,t,0.001003386,0.010144527,,
15,35,13,l,0.102564103,,,
49,60,89,t,0.002522357,,,
78,80,162,t,0.000158278,,,
49,60,89,t,0.002522357,,,
67,75,119,t,0.001003386,0.010144527,,
15,35,13,l,0.102564103,,,
27,50,21,l,0.040564374,,,
78,80,162,t,0.000158278,,,
40,55,62,t,0.006048387,0.038632359,,
11,30,7,l,0.246753247,,,
78,80,162,t,0.000158278,,,
67,75,119,t,0.001003386,,,
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
49,60,89,t,0.002522357,0.024947943,,
11,30,7,l,0.246753247,,,
15,35,13,l,0.102564103,,,
78,80,162,t,0.000158278,0.006249448,,
11,30,7,l,0.246753247,,,
15,35,13,l,0.102564103,,,
27,50,21,l,0.040564374,,,
40,55,62,l,0.006048387,,,
67,75,119,t,0.001003386,,,
49,60,89,t,0.002522357,,,
78,80,162,t,0.000158278,0.006249448,,
11,30,7,l,0.246753247,,,
67,75,119,t,0.001003386,0.002463508,,
40,55,62,l,0.006048387,,,
15,35,13,l,0.102564103,,,
27,50,21,l,0.040564374,,,
49,60,89,t,0.002522357,0.016084257,,
15,35,13,l,0.102564103,,,
49,60,89,t,0.002522357,0.010115228,,
27,50,21,l,0.040564374,,,
11,30,7,l,0.246753247,,,
40,55,62,t,0.006048387,,,
78,80,162,t,0.000158278,,,
67,75,119,t,0.001003386,,,
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
11,30,7,l,0.246753247,,,
67,75,119,t,0.001003386,0.010144527,,
15,35,13,l,0.102564103,,,
49,60,89,t,0.002522357,,,
78,80,162,t,0.000158278,,,
67,75,119,t,0.001003386,,,
40,55,62,t,0.006048387,0.015663621,,
27,50,21,l,0.040564374,,,
11,30,7,l,0.246753247,,,
49,60,89,t,0.002522357,,,
78,80,162,t,0.000158278,0.004029098,,
15,35,13,l,0.102564103,,,
49,60,89,t,0.002522357,,,
78,80,162,t,0.000158278,0.004029098,,
15,35,13,l,0.102564103,,,
67,75,119,t,0.001003386,,,
40,55,62,t,0.006048387,0.038632359,,
11,30,7,l,0.246753247,,,
27,50,21,l,0.040564374,,,
49,60,89,t,0.002522357,0.016084257,,
15,35,13,l,0.102564103,,,
67,75,119,t,0.001003386,0.015734957,,
11,30,7,l,0.246753247,,,
27,50,21,l,0.040564374,,,
40,55,62,t,0.006048387,,,
78,80,162,t,0.000158278,,,
