word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0224862,0.0407052,0.0407052,2.1108278,space,2.0592586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
garnishing,images/garnishing.jpg,verb,0,0,0, verb,1,[2.448237499978859],[2.448246599989943],0,0,0,21,2.1385709,,,,,,,,,2.1228381,2.1385709,3.1234598,3.1234598,3.1234598,3.1234598,3.1384037,5.5723415, verb,1,[2.448237499978859],[2.448246599989943],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
dish soap,images/dishsoap.jpg,noun,1,1,0,noun,1,[2.2661875000048894],[2.2661967999883927],0,1,1,9,5.6032371,,,,,,,,,5.5845774,5.6032371,6.6041381,6.6041381,6.6041381,6.6041381,6.6201492,8.8710754,noun,1,[2.2661875000048894],[2.2661967999883927],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
garbage bin,images/garbagebin.jpg,noun,2,2,0,noun,1,[2.549141299998155],[2.549150799983181],0,2,2,7,8.9024436,,,,,,,,,8.8807052,8.9024436,9.9026664,9.9026664,9.9026664,9.9026664,9.9188234,12.452514,noun,1,[2.549141299998155],[2.549150799983181],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
grating,images/grating.jpg,verb,3,3,0,verb,1,[2.332328199991025],[2.332335300015984],0,3,3,20,12.4681403,,,,,,,,,12.4574278,12.4681403,13.484525,13.484525,13.484525,13.484525,13.484525,15.8175437,verb,1,[2.332328199991025],[2.332335300015984],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
cooker,images/cooker.jpg,noun,4,4,0,noun,1,[2.6645916999841575],[2.6646031999844126],0,4,4,3,15.8493557,,,,,,,,,15.8372039,15.8493557,16.8343962,16.8343962,16.8343962,16.8343962,16.8504377,19.4996495,noun,1,[2.6645916999841575],[2.6646031999844126],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
fruit basket,images/fruitbasket.jpg,noun,5,5,0,noun,1,[2.9495260000112467],[2.949534500017762],0,5,5,11,19.5149242,,,,,,,,,19.5046155,19.5149242,20.5311831,20.5311831,20.5311831,20.5311831,20.5311831,23.4814687,noun,1,[2.9495260000112467],[2.949534500017762],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
chopping,images/chopping.jpg,verb,6,6,0,verb,1,[2.3492521999869496],[2.349259599985089],0,6,6,12,23.4966326,,,,,,,,,23.4859428,23.4966326,24.4964577,24.4964577,24.4964577,24.4964577,24.5128612,26.846363,verb,1,[2.3492521999869496],[2.349259599985089],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
frying,images/frying.jpg,verb,7,7,0,verb,1,[1.9646851000143215],[1.964694199996302],0,7,7,15,26.8616584,,,,,,,,,26.8521497,26.8616584,27.8795816,27.8795816,27.8795816,27.8795816,27.8795816,29.84497,verb,1,[1.9646851000143215],[1.964694199996302],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
knife,images/knife.jpg,noun,8,8,0,noun,1,[2.382560600002762],[2.3825693000108004],0,8,8,5,29.8604346,,,,,,,,,29.8494266,29.8604346,30.8766242,30.8766242,30.8766242,30.8766242,30.8766242,33.2599085,noun,1,[2.382560600002762],[2.3825693000108004],,,,,,,,,,,,,,,,,,,,762,21,2024-11-25_06h35.29.477,imagecondition1,2024.2.1,60.63568022,2024-11-25 06h35.39.371011 +0530
