15.2027 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
15.4658 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A4543A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A4541F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001879A58F910>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([1280,  800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.4660 	EXP 	window1: backgroundImage = ''
15.4660 	EXP 	window1: backgroundFit = 'none'
15.4665 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.4667 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.4703 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.4712 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.5385 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.5386 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.5395 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.5403 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001879A454520>
15.5595 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.5596 	EXP 	window1: recordFrameIntervals = False
15.7386 	EXP 	window1: recordFrameIntervals = True
15.9206 	EXP 	Screen (0) actual frame rate measured at 60.43Hz
15.9207 	EXP 	window1: recordFrameIntervals = False
15.9208 	EXP 	window1: mouseVisible = True
15.9400 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
19.5757 	INFO 	keyboard.Keyboard is using iohub backend.
19.5758 	INFO 	keyboard.Keyboard is using iohub backend.
19.5759 	INFO 	keyboard.Keyboard is using iohub backend.
19.5759 	EXP 	imagecondition1: status = STARTED
19.5764 	EXP 	window1: mouseVisible = True
19.6600 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.6602 	EXP 	window1: mouseVisible = True
19.6647 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
19.6648 	EXP 	window1: mouseVisible = True
19.6657 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.6658 	EXP 	window1: mouseVisible = True
19.6709 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0. , 0.1]), size=array([0.5, 0.3]), texRes=128.0, units='height', win=Window(...))
19.6712 	EXP 	window1: mouseVisible = True
19.6714 	EXP 	window1: mouseVisible = True
19.6721 	EXP 	window1: mouseVisible = True
19.6729 	EXP 	window1: mouseVisible = True
19.6783 	EXP 	window1: mouseVisible = True
19.6784 	EXP 	window1: mouseVisible = True
19.6792 	EXP 	window1: mouseVisible = True
19.6799 	EXP 	window1: mouseVisible = True
19.7065 	EXP 	window1: mouseVisible = True
19.7066 	EXP 	window1: mouseVisible = True
19.7074 	EXP 	window1: mouseVisible = True
19.7080 	EXP 	window1: mouseVisible = True
19.7132 	EXP 	window1: mouseVisible = True
19.7134 	EXP 	window1: mouseVisible = True
19.7142 	EXP 	window1: mouseVisible = True
19.7149 	EXP 	window1: mouseVisible = True
19.7462 	EXP 	window1: mouseVisible = True
19.7612 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
19.7615 	EXP 	window1: mouseVisible = True
19.7617 	EXP 	window1: mouseVisible = True
19.7624 	EXP 	window1: mouseVisible = True
19.7631 	EXP 	window1: mouseVisible = True
19.7684 	EXP 	window1: mouseVisible = True
19.7685 	EXP 	window1: mouseVisible = True
19.7692 	EXP 	window1: mouseVisible = True
19.7699 	EXP 	window1: mouseVisible = True
19.7749 	EXP 	window1: mouseVisible = True
19.7750 	EXP 	window1: mouseVisible = True
19.7759 	EXP 	window1: mouseVisible = True
19.7766 	EXP 	window1: mouseVisible = True
19.7998 	EXP 	window1: mouseVisible = True
19.7999 	EXP 	window1: mouseVisible = True
19.8007 	EXP 	window1: mouseVisible = True
19.8014 	EXP 	window1: mouseVisible = True
19.8063 	EXP 	window1: mouseVisible = True
19.8119 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0375 	EXP 	textbox: autoLog = True
0.0375 	EXP 	textbox_2: autoLog = True
0.0559 	INFO 	Keyboard events cleared
0.0554 	EXP 	text_3: autoDraw = True
441.3919 	EXP 	Imported imagecondition.csv as conditions, 24 conditions, 3 params
441.3923 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'garbage bin', 'imagefile': 'images/garbagebin.jpg', 'category': 'noun', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
441.4024 	DATA 	Keypress: space
441.4131 	EXP 	text_3: autoDraw = False
441.4131 	EXP 	text: height = 0.05
441.4131 	EXP 	text: height = 0.05
441.4131 	EXP 	text: height = 0.05
441.4131 	EXP 	text: text = 'garbage bin'
441.4131 	EXP 	image: image = 'images/garbagebin.jpg'
441.4131 	EXP 	fixation: autoDraw = True
442.3976 	EXP 	text: autoDraw = True
442.3976 	EXP 	image: autoDraw = True
442.3976 	EXP 	textbox: autoDraw = True
442.4132 	EXP 	fixation: autoDraw = False
443.5635 	DATA 	Keypress: n
443.9621 	DATA 	Keypress: o
444.1204 	DATA 	Keypress: u
444.3464 	DATA 	Keypress: n
445.7617 	DATA 	Mouse: Left button down, pos=(654,234)
445.7629 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'peeling', 'imagefile': 'images/peeling.jpg', 'category': 'verb', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
445.7782 	EXP 	fixation: autoDraw = False
445.7782 	EXP 	text: autoDraw = False
445.7782 	EXP 	image: autoDraw = False
445.7782 	EXP 	textbox: autoDraw = False
445.7782 	EXP 	text: height = 0.05
445.7782 	EXP 	text: height = 0.05
445.7782 	EXP 	text: height = 0.05
445.7782 	EXP 	text: text = 'peeling'
445.7782 	EXP 	image: image = 'images/peeling.jpg'
445.7782 	EXP 	fixation: autoDraw = True
445.9960 	DATA 	Mouse:  Left button up, pos=(654,234)
446.7944 	EXP 	fixation: autoDraw = False
446.7944 	EXP 	text: autoDraw = True
446.7944 	EXP 	image: autoDraw = True
446.7944 	EXP 	textbox: autoDraw = True
447.8114 	DATA 	Keypress: v
447.9012 	DATA 	Keypress: e
448.1445 	DATA 	Keypress: b
448.5438 	DATA 	Keypress: backspace
448.7105 	DATA 	Keypress: r
448.8292 	DATA 	Keypress: b
449.7269 	DATA 	Mouse: Left button down, pos=(692,226)
449.7279 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'baking', 'imagefile': 'images/baking.jpg', 'category': 'verb', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
449.7432 	EXP 	fixation: autoDraw = False
449.7432 	EXP 	text: autoDraw = False
449.7432 	EXP 	image: autoDraw = False
449.7432 	EXP 	textbox: autoDraw = False
449.7432 	EXP 	text: height = 0.05
449.7432 	EXP 	text: height = 0.05
449.7432 	EXP 	text: height = 0.05
449.7432 	EXP 	text: text = 'baking'
449.7432 	EXP 	image: image = 'images/baking.jpg'
449.7432 	EXP 	fixation: autoDraw = True
449.9437 	DATA 	Mouse:  Left button up, pos=(692,226)
450.7595 	EXP 	fixation: autoDraw = False
450.7595 	EXP 	text: autoDraw = True
450.7595 	EXP 	image: autoDraw = True
450.7595 	EXP 	textbox: autoDraw = True
451.6764 	DATA 	Keypress: v
451.7438 	DATA 	Keypress: e
451.9092 	DATA 	Keypress: r
451.9763 	DATA 	Keypress: b
452.8433 	DATA 	Mouse: Left button down, pos=(648,234)
452.8445 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'boiling', 'imagefile': 'images/boiling.jpg', 'category': 'verb', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
452.8591 	EXP 	fixation: autoDraw = False
452.8591 	EXP 	text: autoDraw = False
452.8591 	EXP 	image: autoDraw = False
452.8591 	EXP 	textbox: autoDraw = False
452.8591 	EXP 	text: height = 0.05
452.8591 	EXP 	text: height = 0.05
452.8591 	EXP 	text: height = 0.05
452.8591 	EXP 	text: text = 'boiling'
452.8591 	EXP 	image: image = 'images/boiling.jpg'
452.8591 	EXP 	fixation: autoDraw = True
453.0613 	DATA 	Mouse:  Left button up, pos=(648,234)
453.8577 	EXP 	fixation: autoDraw = False
453.8577 	EXP 	text: autoDraw = True
453.8577 	EXP 	image: autoDraw = True
453.8577 	EXP 	textbox: autoDraw = True
454.5662 	DATA 	Keypress: v
454.6581 	DATA 	Keypress: e
454.9136 	DATA 	Keypress: b
455.2911 	DATA 	Keypress: backspace
455.3826 	DATA 	Keypress: r
455.5582 	DATA 	Keypress: b
456.6073 	DATA 	Mouse: Left button down, pos=(634,261)
456.6085 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'word': 'mashing', 'imagefile': 'images/mashing.jpg', 'category': 'verb', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
456.6233 	EXP 	fixation: autoDraw = False
456.6233 	EXP 	text: autoDraw = False
456.6233 	EXP 	image: autoDraw = False
456.6233 	EXP 	textbox: autoDraw = False
456.6233 	EXP 	text: height = 0.05
456.6233 	EXP 	text: height = 0.05
456.6233 	EXP 	text: height = 0.05
456.6233 	EXP 	text: text = 'mashing'
456.6233 	EXP 	image: image = 'images/mashing.jpg'
456.6233 	EXP 	fixation: autoDraw = True
456.8231 	DATA 	Mouse:  Left button up, pos=(634,261)
457.6243 	EXP 	fixation: autoDraw = False
457.6243 	EXP 	text: autoDraw = True
457.6243 	EXP 	image: autoDraw = True
457.6243 	EXP 	textbox: autoDraw = True
458.3742 	DATA 	Keypress: v
458.4732 	DATA 	Keypress: e
458.6234 	DATA 	Keypress: r
458.7400 	DATA 	Keypress: b
459.5946 	DATA 	Mouse: Left button down, pos=(645,234)
459.6071 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'word': 'blending', 'imagefile': 'images/blending.jpg', 'category': 'verb', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
459.6220 	EXP 	fixation: autoDraw = False
459.6220 	EXP 	text: autoDraw = False
459.6220 	EXP 	image: autoDraw = False
459.6220 	EXP 	textbox: autoDraw = False
459.6220 	EXP 	text: height = 0.05
459.6220 	EXP 	text: height = 0.05
459.6220 	EXP 	text: height = 0.05
459.6220 	EXP 	text: text = 'blending'
459.6220 	EXP 	image: image = 'images/blending.jpg'
459.6220 	EXP 	fixation: autoDraw = True
459.8219 	DATA 	Mouse:  Left button up, pos=(645,234)
460.6385 	EXP 	fixation: autoDraw = False
460.6385 	EXP 	text: autoDraw = True
460.6385 	EXP 	image: autoDraw = True
460.6385 	EXP 	textbox: autoDraw = True
461.3057 	DATA 	Keypress: v
461.3960 	DATA 	Keypress: e
461.5729 	DATA 	Keypress: r
461.6892 	DATA 	Keypress: b
462.5268 	DATA 	Mouse: Left button down, pos=(651,233)
462.5394 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'word': 'garnishing', 'imagefile': 'images/garnishing.jpg', 'category': 'verb', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
462.5543 	EXP 	fixation: autoDraw = False
462.5543 	EXP 	text: autoDraw = False
462.5543 	EXP 	image: autoDraw = False
462.5543 	EXP 	textbox: autoDraw = False
462.5543 	EXP 	text: height = 0.05
462.5543 	EXP 	text: height = 0.05
462.5543 	EXP 	text: height = 0.05
462.5543 	EXP 	text: text = 'garnishing'
462.5543 	EXP 	image: image = 'images/garnishing.jpg'
462.5543 	EXP 	fixation: autoDraw = True
462.7544 	DATA 	Mouse:  Left button up, pos=(651,233)
463.5705 	EXP 	fixation: autoDraw = False
463.5705 	EXP 	text: autoDraw = True
463.5705 	EXP 	image: autoDraw = True
463.5705 	EXP 	textbox: autoDraw = True
464.0462 	DATA 	Keypress: v
464.1721 	DATA 	Keypress: e
464.3374 	DATA 	Keypress: r
464.4202 	DATA 	Keypress: b
465.3589 	DATA 	Mouse: Left button down, pos=(582,248)
