word,imagefile,category,thisN,thisTrialN,thisRepN,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,text_3.started,key_resp.started,phase1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,text.started,image.started,textbox.started,button.started,fixation.stopped,trial.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,phase2.started,text_2.started,key_resp_2.started,phase2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,recalltest.started,textbox_2.started,button_2.started,recalltest.stopped,textbox_2.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,thankyou.started,text_4.started,thankyou.stopped,participant,age,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0785158,0.095331,0.095331,4.0321158,space,3.9193251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
grinding,images/grinding.jpg,verb,0,0,0, verb,1,[4.231672900001286],[4.231686300001456],0,0,0,23,4.0596206,,,,,,,,,4.0436829,4.0596206,5.0599426,5.0599426,5.0599426,5.0599426,5.0759532,9.2923715, verb,1,[4.231672900001286],[4.231686300001456],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
jar,images/jar.jpg,noun,1,1,0,noun,1,[3.9322838999978558],[3.932292999998026],0,1,1,4,9.3067457,,,,,,,,,9.2996685,9.3067457,10.3236077,10.3236077,10.3236077,10.3236077,10.3236077,14.2566374,noun,1,[3.9322838999978558],[3.932292999998026],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
refrigerator,images/refrigerator.jpg,noun,2,2,0,noun,1,[3.0833086000020558],[3.0833173999999417],0,2,2,1,14.9369883,,,,,,,,,14.9072619,14.9369883,15.5057636,15.5057636,15.5057636,15.5057636,15.9384408,18.5900373,noun,1,[3.0833086000020558],[3.0833173999999417],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
rolling pin,images/rollingpin.jpg,noun,3,3,0,noun,1,[4.994982500000333],[4.994993100001011],0,3,3,6,18.6046703,,,,,,,,,18.5974839,18.6046703,20.0899694,20.0899694,20.0899694,20.0899694,20.0899694,25.0856001,noun,1,[4.994982500000333],[4.994993100001011],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
ice tray,images/icetray.jpg,noun,4,4,0,noun,1,[2.9661168000020552],[2.966128200001549],0,4,4,10,25.1008897,,,,,,,,,25.0906775,25.1008897,26.1003747,26.1003747,26.1003747,26.1003747,26.1003747,29.0672572,noun,1,[2.9661168000020552],[2.966128200001549],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
garnishing,images/garnishing.jpg,verb,5,5,0,verb,1,[2.9982114999984333],[2.9982234999988577],0,5,5,21,29.0822121,,,,,,,,,29.071767,29.0822121,30.0990891,30.0990891,30.0990891,30.0990891,30.0990891,33.0979831,verb,1,[2.9982114999984333],[2.9982234999988577],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
baking,images/baking.jpg,verb,6,6,0,verb,1,[2.3654463999992004],[2.365456499999709],0,6,6,16,33.1142773,,,,,,,,,33.1026537,33.1142773,34.1312908,34.1312908,34.1312908,34.1312908,34.1474115,36.4973879,verb,1,[2.3654463999992004],[2.365456499999709],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
knife,images/knife.jpg,noun,7,7,0,noun,1,[2.6156457000033697],[2.615655700003117],0,7,7,5,36.512621,,,,,,,,,36.5019351,36.512621,37.5120311,37.5120311,37.5120311,37.5120311,37.5283807,40.1283436,noun,1,[2.6156457000033697],[2.615655700003117],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
garbage bin,images/garbagebin.jpg,noun,8,8,0,noun,1,[3.314242500000546],[3.314252000000124],0,8,8,7,40.1442018,,,,,,,,,40.1380912,40.1442018,41.1449233,41.1449233,41.1449233,41.1449233,41.1613041,44.4599066,noun,1,[3.314242500000546],[3.314252000000124],,,,,,,,,,,,,,,,,,,530349,20,2024-11-23_18h23.46.659,imagecondition1,2024.2.1,59.14601436,2024-11-23 18h23.55.991122 +0530
