word,category,thisN,thisTrialN,thisRepN,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,instruction1.started,key_resp_2.started,phase1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,semantic_processing.started,fixation.started,textbox.started,button_2.started,fixation.stopped,semantic_processing.stopped,trials.textbox.text,trials.button_2.numClicks,trials.button_2.timesOn,trials.button_2.timesOff,phase2.started,instruction2.started,key_resp.started,phase2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,recalltest.started,textbox_2.started,button.started,recalltest.stopped,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,thankyoutext.started,thankyou.stopped,participant,age,school,sex,condition,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.01615400001173839,0.03122200001962483,0.03122200001962483,0.836330900026951,space,0.7957783000019845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
blending,verb,0,0,0, verb,1,[2.150307800009614],[2.1503169999923557],0,0,0,13,0.8656263000157196,,,,,,,,,0.8480673000158276,0.8656263000157196,1.8466771000239532,1.8466771000239532,1.8802352000202518,3.9976373000245076, verb,1,[2.150307800009614],[2.1503169999923557],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
jar,noun,1,1,0,noun,1,[2.865923000004841],[2.8659321000159252],0,1,1,4,4.012698500009719,,,,,,,,,4.0012935000122525,4.012698500009719,5.01221070002066,5.01221070002066,5.01221070002066,7.878850000008242,noun,1,[2.865923000004841],[2.8659321000159252],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
grinding,verb,2,2,0,verb,1,[1.7985058999911416],[1.7985143999976572],0,2,2,23,7.8944526000123005,,,,,,,,,7.881315600010566,7.8944526000123005,8.89492180000525,8.89492180000525,8.89492180000525,10.694137900019996,verb,1,[1.7985058999911416],[1.7985143999976572],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
rolling pin,noun,3,3,0,noun,1,[2.315472199989017],[2.315484099992318],0,3,3,6,10.709878699999535,,,,,,,,,10.696980400010943,10.709878699999535,11.709928000025684,11.709928000025684,11.709928000025684,14.026144600007683,noun,1,[2.315472199989017],[2.315484099992318],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
fruit basket,noun,4,4,0,noun,1,[2.282602899998892],[2.2826118000084534],0,4,4,11,14.041564800019842,,,,,,,,,14.029118000005838,14.041564800019842,15.041188600007445,15.041188600007445,15.041188600007445,17.32455810002284,noun,1,[2.282602899998892],[2.2826118000084534],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
knife,noun,5,5,0,noun,1,[3.5981204999843612],[3.598127499979455],0,5,5,5,17.341157900023973,,,,,,,,,17.327333799999906,17.341157900023973,18.340396400017198,18.340396400017198,18.356810600002063,21.939188800024567,noun,1,[3.5981204999843612],[3.598127499979455],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
baking,verb,6,6,0,verb,1,[5.131775999994716],[5.131783599994378],0,6,6,16,21.95499640001799,,,,,,,,,21.941826800000854,21.95499640001799,22.954644800018286,22.954644800018286,22.954644800018286,28.087074600014603,verb,1,[5.131775999994716],[5.131783599994378],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
cooker,noun,7,7,0,noun,1,[2.432316099992022],[2.4323248000000603],0,7,7,3,28.102322400023695,,,,,,,,,28.089837400009856,28.102322400023695,29.1021850000252,29.1021850000252,29.1021850000252,31.53519370002323,noun,1,[2.432316099992022],[2.4323248000000603],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
microwave,noun,8,8,0,noun,1,[2.332525200006785],[2.3325339000148233],0,8,8,2,31.551043100014795,,,,,,,,,31.53800090000732,31.551043100014795,32.53396890001022,32.53396890001022,32.55083160000504,34.86728060001042,noun,1,[2.332525200006785],[2.3325339000148233],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
grating,verb,9,9,0,verb,1,[2.416812099982053],[2.4168268000066746],0,9,9,20,34.88368400000036,,,,,,,,,34.869920700002695,34.88368400000036,35.88224840001203,35.88224840001203,35.89961780002341,38.299846200010506,verb,1,[2.416812099982053],[2.4168268000066746],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
stove,noun,10,10,0,noun,1,[2.1659164000011515],[2.1659236999985296],0,10,10,0,38.31487550001475,,,,,,,,,38.30272390000755,38.31487550001475,39.31418190000113,39.31418190000113,39.330926200025715,41.48085490000085,noun,1,[2.1659164000011515],[2.1659236999985296],,,,,,,,,,,,,,,,,,,558536,20,,,,2024-11-25_07h06.42.516,labsoloproject,2024.2.1,60.41489323911668,2024-11-25 07h06.58.107172 +0530,
