word,category,thisN,thisTrialN,thisRepN,textbox.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,phase1.started,instruction1.started,key_resp_2.started,phase1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,semantic_processing.started,fixation.started,textbox.started,button_2.started,fixation.stopped,semantic_processing.stopped,trials.textbox.text,trials.button_2.numClicks,trials.button_2.timesOn,trials.button_2.timesOff,phase2.started,instruction2.started,key_resp.started,phase2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,recalltest.started,textbox_2.started,button.started,recalltest.stopped,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,thankyoutext.started,thankyoutext.stopped,thankyou.stopped,participant,age,school,sex,condition,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.008957600002759136,0.042004199989605695,0.042004199989605695,2.073207800000091,space,1.9861460999964038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
jar,noun,0,0,0, noun,1,[4.403845199994976],[4.4038693999900715],0,0,0,4,2.108002099994337,,,,,,,,,2.0879872999939835,2.108002099994337,3.1080016999912914,3.1080016999912914,3.1233939999947324,7.5129221999959555, noun,1,[4.403845199994976],[4.4038693999900715],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
refrigerator,noun,1,1,0,noun,1,[3.5479964000114705],[3.5480036000080872],0,1,1,1,7.522926399993594,,,,,,,,,7.515639399993233,7.522926399993594,8.521959899997455,8.521959899997455,8.538689199995133,12.070615499993437,noun,1,[3.5479964000114705],[3.5480036000080872],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
dish soap,noun,2,2,0,noun,1,[3.399288100001286],[3.3993005999946035],0,2,2,9,12.087102399993455,,,,,,,,,12.074064399988856,12.087102399993455,13.070194200001424,13.070194200001424,13.086802299992996,16.470205599995097,noun,1,[3.399288100001286],[3.3993005999946035],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
whisking,verb,3,3,0,verb,1,[3.5000690999877406],[3.500080199999502],0,3,3,18,16.484516899989103,,,,,,,,,16.473799499988672,16.484516899989103,17.484724499998265,17.484724499998265,17.484724499998265,20.985392499991576,verb,1,[3.5000690999877406],[3.500080199999502],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
grilling,verb,4,4,0,verb,1,[2.5157648000022164],[2.515772400001879],0,4,4,17,21.00091849999444,,,,,,,,,20.987801499999478,21.00091849999444,22.000771899998654,22.000771899998654,22.000771899998654,24.517079500001273,verb,1,[2.5157648000022164],[2.515772400001879],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
garbage bin,noun,5,5,0,noun,1,[3.0655897999968147],[3.0655980999872554],0,5,5,7,24.533458599995356,,,,,,,,,24.520193599993945,24.533458599995356,25.5161897999933,25.5161897999933,25.532628399989335,28.58239679998951,noun,1,[3.0655897999968147],[3.0655980999872554],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
blending,verb,6,6,0,verb,1,[4.4480392999976175],[4.448048299993388],0,6,6,13,28.597710299989558,,,,,,,,,28.585503499998595,28.597710299989558,29.59785799999372,29.59785799999372,29.59785799999372,34.04650369999581,verb,1,[4.4480392999976175],[4.448048299993388],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
rolling pin,noun,7,7,0,noun,1,[3.3988667000085115],[3.3988755000027595],0,7,7,6,34.062014099996304,,,,,,,,,34.04922169999918,34.062014099996304,35.06188110000221,35.06188110000221,35.06188110000221,38.461421100000734,noun,1,[3.3988667000085115],[3.3988755000027595],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
knife,noun,8,8,0,noun,1,[3.1156805000064196],[3.1156877000030363],0,8,8,5,38.476677899991046,,,,,,,,,38.464501700000255,38.476677899991046,39.476384299996425,39.476384299996425,39.476384299996425,42.59260949998861,noun,1,[3.1156805000064196],[3.1156877000030363],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
cooker,noun,9,9,0,noun,1,[3.382424400013406],[3.382440700006555],0,9,9,3,42.608723899989855,,,,,,,,,42.59541319998971,42.608723899989855,43.60792799999763,43.60792799999763,43.60792799999763,46.991102899992256,noun,1,[3.382424400013406],[3.382440700006555],,,,,,,,,,,,,,,,,,,,729472,19,,,,2024-11-24_15h08.07.481,labsoloproject,2024.2.1,60.09947665209863,2024-11-24 15h08.23.474205 +0530,
