17.2422 	INFO 	Loaded monitor calibration from ['2024_08_08 19:17']
17.2567 	WARNING 	User requested fullscreen with size [1280  800], but screen is actually [1920, 1200]. Using actual size
17.6018 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC2623A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC2621F0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027DDC39FBE0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.6020 	EXP 	window1: backgroundImage = ''
17.6020 	EXP 	window1: backgroundFit = 'none'
17.6026 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.6029 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.6096 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.6111 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.7070 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.7072 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.7081 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.7089 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027DDC262520>
17.7314 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.7315 	EXP 	window1: recordFrameIntervals = False
18.0704 	EXP 	window1: recordFrameIntervals = True
18.1712 	WARNING 	t of last frame was 33.90ms (=1/29)
18.3381 	EXP 	Screen (0) actual frame rate measured at 60.10Hz
18.3381 	EXP 	window1: recordFrameIntervals = False
18.3382 	EXP 	window1: mouseVisible = True
22.1375 	INFO 	keyboard.Keyboard is using iohub backend.
22.1376 	INFO 	keyboard.Keyboard is using iohub backend.
22.1376 	INFO 	keyboard.Keyboard is using iohub backend.
22.1377 	EXP 	labsoloproject: status = STARTED
22.1380 	EXP 	window1: mouseVisible = True
22.2643 	EXP 	Created instruction1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instruction1', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.2645 	EXP 	window1: mouseVisible = True
